schema,profile,sample,phase,record_count_per_family,relation,heap_bytes,index_bytes,total_bytes
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,pre_compaction,50000,event_payloads,6307840,2973696,148160512
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,pre_compaction,50000,payload_shape_probe_compressible,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,pre_compaction,50000,payload_shape_probe_low_compressibility,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,pre_compaction,50000,receipt_envelopes_compressible,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,pre_compaction,50000,receipt_envelopes_low_compressibility,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,pre_compaction,50000,revision_envelopes_compressible,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,pre_compaction,50000,revision_envelopes_low_compressibility,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,pre_compaction,50000,run_checkpoints,0,8192,16384
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,activity_event_envelopes_compressible,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,activity_event_envelopes_low_compressibility,45514752,5947392,51503104
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,application_wire_records_compressible,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,application_wire_records_low_compressibility,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,compaction_floors,4915200,2678784,7626752
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,event_payloads,6307840,2973696,148176896
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,payload_shape_probe_compressible,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,payload_shape_probe_low_compressibility,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,receipt_envelopes_compressible,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,receipt_envelopes_low_compressibility,0,16384,24576
storyos.issue76.postgres_relation.v1,local_4vcpu_4gib,0,post_delete_vacuum,50000,revision_envelopes_compressible,0,16384,24576
